dispatch_id,dispatch_created_on,expected_delivery_date,Origin Id,Origin Label,Origin Geo Lat,Origin Geo Lon,Distributor Id,Distributor Name,Dest Geo Lat,Dest Geo Lon,Vehicle Id
101200,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,101189,EMAAN ENTERPRISES THEKRIWALA-9,31.364604,72.912386,2119
101201,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,101231,MIAN TRADERS SILLANWALI.08,31.828529,72.549197,2119
101202,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,101097,CHAUDHARY TRADERS BHALWAL-8,32.254854,72.89593,2119
101203,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,101131,MS MARKETING SARGODHA,32.071561,72.651152,2119
101204,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101268,NASRULLAH TRADERS ROUTE.141,31.341134,73.057482,2120
101205,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101195,MALIK BOOTA TRADERS KAMALIA.20,30.731256,72.648563,2120
101206,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101246,ARSHAD& CO SATYANA.13,31.2039,73.17074,2120
101207,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100287,RANA TRADERS ROUTE.57,31.440645,73.115344,2120
101208,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101064,YAWAR BROTHERS ROUTE-130,31.387262,73.201287,2120
101209,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101151,R.S TRADERS ROUTE.135,31.418779,73.044673,2120
101210,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101211,DAMCO PAKISTAN (PVT) LTD.(Chiniot),31.742681,73.038419,2120
101211,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,200088,K.F.C,31.4068728,73.1126684,57
101212,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,101228,SHABBIR TRADERS (BULK),31.406426,73.125756,57
101213,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,101266,AL SHARIF TRADERS LALIAN.10,31.827021,72.796951,57
101214,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,100028,MUHAMMAD SALEEM & CO PIPLAAN,32.2790777,71.3685901,57
101215,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,100741,GONDAL TRADERS MIANI-3,32.4773584,72.9242267,139
101216,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,100002,AL KHAIR TRADERS CHINIOT# 1(B),31.717632,72.985802,139
101217,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,100001,ABDUL RAOOF IMRAN & CO.PHULARWAN,32.3576774,73.0133257,139
101218,01/01/2025,02/01/2025,8,Plant,31.378359,73.07063,101141,AQ TRADERS ROUTE.133,31.457055,73.065957,139
101219,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101183,ZAM ZAM TRADERS JHANG 14,31.288523,72.320173,99
101220,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101026,BASHIR SHABIR & CO OKARA-17,30.807488,73.4603779,99
101221,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100312,Al - Rayan Traders T.T SINGH -3,30.978537,72.491499,99
101222,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101157,ABDUL REHMAN TRADERS DHANOLA,31.509033,73.11008725,12
101223,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100401,MODERN TRADERS JHANG-9,31.2973293,72.3172379,12
101224,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101237,ALI TRADERS SIKANDRABAD.05,32.91322,71.579022,12
101225,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101149,WARRIACH TRADERS MANKERA,31.390706,71.434574,12
101226,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101145,Kashi Traders Bhakar.8,31.638786,71.067333,2111
101227,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101064,YAWAR BROTHERS ROUTE-130,31.387262,73.201287,2111
101228,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101027,GLOBAL TRADERS OKARA-18,30.8494521,73.4446188,2111
101229,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101003,YOUNAS TRADERS (main sani road),31.41472,73.037068,2111
101230,01/01/2025,02/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101026,BASHIR SHABIR & CO OKARA-17,30.807488,73.4603779,2111
