dispatch_id,dispatch_created_on,expected_delivery_date,Origin Id,Origin Label,Origin Geo Lat,Origin Geo Lon,Distributor Id,Distributor Name,Dest Geo Lat,Dest Geo Lon,Vehicle Id
101231,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101274,MS TRADERS THEKRIWALA-10,31.364562,72.912751,11
101232,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101208,MAKKAH TRADERS MITHA TIWANA.4,32.260186,72.103568,11
101233,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101266,AL SHARIF TRADERS LALIAN.10,31.827021,72.796951,11
101234,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100965,USMAN TRADERS SHORKOT CITY-9,30.85268,72.090019,11
101235,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101097,CHAUDHARY TRADERS BHALWAL-8,32.254854,72.89593,2
101236,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100017,HASSAN & CO QAMARMASHANI-2,32.8443078,71.3689311,34
101237,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101157,ABDUL REHMAN TRADERS DHANOLA,31.509033,73.11008725,34
101238,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101098,WARRAICH ENTERPRISES KOTMOMIN.06,32.1889066,73.0145727,34
101239,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101145,Kashi Traders Bhakar.8,31.638786,71.067333,34
101240,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101193,AB ENTERPRISES JHUMRA.12,31.573303,73.173498,34
101241,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100356,Masood Hadyat Traders ROUTE.62,31.219285,73.001042,34
101242,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,200160,PEA COCK RESTURANT BHERA,32.4527097,72.8859729,2383
101243,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,200085,C-MART- BHERA(2010),32.4535062,72.8876359,2383
101244,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,200513,HEAVEN FOOD COURT,32.4557219,72.8875773,2383
101245,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,201189,RAHAT BAKERS BHERA,32.4535033,72.8876401,2383
101246,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,200447,K.F.C RESTAURANT UNIVERSITY ROAD,32.0779328,72.6724659,2383
101247,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,201023,BHERA  DEE THAN,32.4557879,72.8882583,2383
101248,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101185,REHMAT GHAZI ENTERPRISE SINDHILIANW,30.637131,72.365011,654
101249,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100017,HASSAN & CO QAMARMASHANI-2,32.8443078,71.3689311,654
101250,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100002,AL KHAIR TRADERS CHINIOT# 1(B),31.717632,72.985802,654
101251,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100356,Masood Hadyat Traders ROUTE.62,31.219285,73.001042,654
101252,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101278,AKBAR TRADERS JARANWALA 22,31.339823,73.430041,654
101253,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101266,AL SHARIF TRADERS LALIAN.10,31.827021,72.796951,654
101254,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101268,NASRULLAH TRADERS ROUTE.141,31.341134,73.057482,654
101255,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100051,G.SIDDIQUE SARWAR& CO. SHORKOT CANT,30.793913,72.255381,453
101256,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101027,GLOBAL TRADERS OKARA-18,30.8494521,73.4446188,453
101257,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101246,ARSHAD& CO SATYANA.13,31.2039,73.17074,453
101258,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100056,MEHBOOB SONS TRADERS JHANG.2,31.2715095,72.3152034,453
101259,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101205,SHEIKH IRFAN & CO G.M RAJA.9,30.846003,71.83859,44
101260,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101056,ADNAN & ASFAND TRADERS JOHRABAD.07,32.278354,72.272054,455
101261,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100312,Al - Rayan Traders T.T SINGH -3,30.978537,72.491499,455
101262,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101267,AL-KAFEEL ENTERPRISES KHUSHAB-14,32.308373,72.355597,455
101263,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100051,G.SIDDIQUE SARWAR& CO. SHORKOT CANT,30.793913,72.255381,455
101264,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101273,AL KAUSAR TRADERS KAKA CHOWK 4,32.047145,72.259547,455
101265,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100965,USMAN TRADERS SHORKOT CITY-9,30.85268,72.090019,10
101266,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,100741,GONDAL TRADERS MIANI-3,32.4773584,72.9242267,101
101267,02/01/2025,03/01/2025,17,FG-WAREHOUSE SAMUNDRI ROAD,31.337319,73.057297,101227, Mubashar  Traders Noshehra -5,32.570304,72.163652,4473
