Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.337319,73.057297,Origin/Warehouse,1,2154,01/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2154,01/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),3,2154,01/01/2025
31.4380631,73.1317245,K.F.C (Layallpur Galleria),4,2154,01/01/2025
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,5,2154,01/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,6,2154,01/01/2025
31.4068728,73.1126684,K.F.C,7,2154,01/01/2025
31.337319,73.057297,Origin/Warehouse,8,2154,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,47,01/01/2025
31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9,2,47,01/01/2025
30.864552,72.54273,CHAUDARY TRADERS RAJANA.06,3,47,01/01/2025
32.0779328,72.6724659,K.F.C RESTAURANT UNIVERSITY ROAD,4,47,01/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,5,47,01/01/2025
31.337319,73.057297,Origin/Warehouse,6,47,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,7,01/01/2025
31.219285,73.001042,Masood Hadyat Traders ROUTE.62,2,7,01/01/2025
31.828529,72.549197,MIAN TRADERS SILLANWALI.08,3,7,01/01/2025
32.308373,72.355597,AL-KAFEEL ENTERPRISES KHUSHAB-14,4,7,01/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,5,7,01/01/2025
31.337319,73.057297,Origin/Warehouse,6,7,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,2113,01/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2113,01/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,3,2113,01/01/2025
31.4380088,73.1319612,PIZZA MAX,4,2113,01/01/2025
30.866436,73.602953,ELLAHI TRADERS RENALA.18,5,2113,01/01/2025
31.337319,73.057297,Origin/Warehouse,6,2113,01/01/2025
32.27799,72.272444,Origin/Warehouse,1,938,01/01/2025
30.9242069,72.1282759,SADIQ COLD CORNER,2,938,01/01/2025
30.9189028,72.1252025,NADIM  F/S KARYANA STORE,3,938,01/01/2025
30.9192496,72.1217085,RAMZAN   T/S TEA STALL,4,938,01/01/2025
30.9203304,72.1186591,WARIS FRUIT SHOP FAST FOOD,5,938,01/01/2025
30.8949563,72.1129503,SINDH BALOCHISTAN HOTEL & RESTUARANT,6,938,01/01/2025
30.8943983,72.1126189,NAWAZ  K/S KARYANA STORE,7,938,01/01/2025
30.8947697,72.1128721,NASIR   K/S KARYANA STORE,8,938,01/01/2025
30.8688363,72.0982766,ABDULLAH  PETROLUME COLD CORNER,9,938,01/01/2025
30.8448948,72.1170027,SAJJAD KARYANA STORE,10,938,01/01/2025
30.8393232,72.0914235,HAIDER ALI D/C ,11,938,01/01/2025
30.8591642,72.0930884,AL ABBAS KARYANA STORE KARYANA STORE,12,938,01/01/2025
30.8838769,72.0657102,IQRAR K/S KARYANA STORE,13,938,01/01/2025
32.27799,72.272444,Origin/Warehouse,14,938,01/01/2025
31.378359,73.07063,Origin/Warehouse,1,3148,01/01/2025
31.8180554,72.5406475, MIAN G S/B (ABID ALI) SWEET & BAKERS,2,3148,01/01/2025
31.8269438,72.5391222,MADINA SWEET SWEET & BAKERS,3,3148,01/01/2025
32.0687884,72.6858386,SHANGRILA BAKERS SWEET & BAKERS,4,3148,01/01/2025
31.378359,73.07063,Origin/Warehouse,5,3148,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,2405,01/01/2025
32.2711632,72.8842919,MOHSIN KARYANA STORE KARYANA STORE,2,2405,01/01/2025
32.2744442,72.8877882,MITHO MILK SHOP ,3,2405,01/01/2025
32.2744794,72.8896578,MUHAMMAD K.S KARYANA STORE,4,2405,01/01/2025
32.2745973,72.8914671,786 KARYANA STORE,5,2405,01/01/2025
32.2746831,72.8915487,ABBAS KARYANA STORE,6,2405,01/01/2025
32.2747232,72.8916209,AL-MAKKAH SUPER STORE KARYANA STORE,7,2405,01/01/2025
32.2720311,72.8931866,Usman Drink Corner,8,2405,01/01/2025
31.337319,73.057297,Origin/Warehouse,9,2405,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,2154,01/01/2025
31.4068728,73.1126684,K.F.C,2,2154,01/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,3,2154,01/01/2025
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,01/01/2025
31.4380631,73.1317245,K.F.C (Layallpur Galleria),5,2154,01/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),6,2154,01/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,7,2154,01/01/2025
31.337319,73.057297,Origin/Warehouse,8,2154,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,47,01/01/2025
31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9,2,47,01/01/2025
30.864552,72.54273,CHAUDARY TRADERS RAJANA.06,3,47,01/01/2025
32.0779328,72.6724659,K.F.C RESTAURANT UNIVERSITY ROAD,4,47,01/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,5,47,01/01/2025
31.337319,73.057297,Origin/Warehouse,6,47,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,7,01/01/2025
31.219285,73.001042,Masood Hadyat Traders ROUTE.62,2,7,01/01/2025
31.828529,72.549197,MIAN TRADERS SILLANWALI.08,3,7,01/01/2025
32.308373,72.355597,AL-KAFEEL ENTERPRISES KHUSHAB-14,4,7,01/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,5,7,01/01/2025
31.337319,73.057297,Origin/Warehouse,6,7,01/01/2025
31.337319,73.057297,Origin/Warehouse,1,2113,01/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2113,01/01/2025
31.440645,73.115344,RANA TRADERS ROUTE.57,3,2113,01/01/2025
31.4380088,73.1319612,PIZZA MAX,4,2113,01/01/2025
30.866436,73.602953,ELLAHI TRADERS RENALA.18,5,2113,01/01/2025
31.337319,73.057297,Origin/Warehouse,6,2113,01/01/2025
32.27799,72.272444,Origin/Warehouse,1,938,01/01/2025
