Vehicle ID,Date,Status,Stop Number,Latitude,Longitude,Distributor Name
455,03/01/2025,Complete,,30.978537,72.491499,Al - Rayan Traders T.T SINGH -3
455,03/01/2025,Complete,,30.793913,72.255381,G.SIDDIQUE SARWAR& CO. SHORKOT CANT
455,03/01/2025,Complete,,32.047145,72.259547,AL KAUSAR TRADERS KAKA CHOWK 4
455,03/01/2025,Complete,,32.278354,72.272054,ADNAN & ASFAND TRADERS JOHRABAD.07
455,03/01/2025,Complete,,32.308373,72.355597,AL-KAFEEL ENTERPRISES KHUSHAB-14
455,03/01/2025,Complete,,31.337319,73.057297,Origin/Warehouse
10,03/01/2025,Complete,,31.337319,73.057297,Origin/Warehouse
10,03/01/2025,Complete,,30.85268,72.090019,USMAN TRADERS SHORKOT CITY-9
10,03/01/2025,Complete,,31.337319,73.057297,Origin/Warehouse
101,03/01/2025,Complete,,31.337319,73.057297,Origin/Warehouse
101,03/01/2025,Complete,,32.4773584,72.9242267,GONDAL TRADERS MIANI-3
101,03/01/2025,Complete,,31.337319,73.057297,Origin/Warehouse
4473,03/01/2025,Incomplete,,31.337319,73.057297,Origin/Warehouse
4473,03/01/2025,Incomplete,,32.570304,72.163652, Mubashar  Traders Noshehra -5
4473,03/01/2025,Incomplete,,31.337319,73.057297,Origin/Warehouse
2119,02/01/2025,In Progress,,31.378359,73.07063,Origin/Warehouse
2119,02/01/2025,In Progress,,31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9
2119,02/01/2025,In Progress,,31.828529,72.549197,MIAN TRADERS SILLANWALI.08
2119,02/01/2025,In Progress,,32.071561,72.651152,MS MARKETING SARGODHA
2119,02/01/2025,In Progress,,32.254854,72.89593,CHAUDHARY TRADERS BHALWAL-8
2119,02/01/2025,In Progress,,31.378359,73.07063,Origin/Warehouse
2120,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
2120,02/01/2025,In Progress,,31.341134,73.057482,NASRULLAH TRADERS ROUTE.141
2120,02/01/2025,In Progress,,30.731256,72.648563,MALIK BOOTA TRADERS KAMALIA.20
2120,02/01/2025,In Progress,,31.2039,73.17074,ARSHAD& CO SATYANA.13
2120,02/01/2025,In Progress,,31.387262,73.201287,YAWAR BROTHERS ROUTE-130
2120,02/01/2025,In Progress,,31.440645,73.115344,RANA TRADERS ROUTE.57
2120,02/01/2025,In Progress,,31.742681,73.038419,DAMCO PAKISTAN (PVT) LTD.(Chiniot)
2120,02/01/2025,In Progress,,31.418779,73.044673,R.S TRADERS ROUTE.135
2120,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
57,02/01/2025,In Progress,,31.378359,73.07063,Origin/Warehouse
57,02/01/2025,In Progress,,31.4068728,73.1126684,K.F.C
57,02/01/2025,In Progress,,31.406426,73.125756,SHABBIR TRADERS (BULK)
57,02/01/2025,In Progress,,31.827021,72.796951,AL SHARIF TRADERS LALIAN.10
57,02/01/2025,In Progress,,32.2790777,71.3685901,MUHAMMAD SALEEM & CO PIPLAAN
57,02/01/2025,In Progress,,31.378359,73.07063,Origin/Warehouse
139,02/01/2025,In Progress,,31.378359,73.07063,Origin/Warehouse
139,02/01/2025,In Progress,,31.717632,72.985802,AL KHAIR TRADERS CHINIOT# 1(B)
139,02/01/2025,In Progress,,32.4773584,72.9242267,GONDAL TRADERS MIANI-3
139,02/01/2025,In Progress,,32.3576774,73.0133257,ABDUL RAOOF IMRAN & CO.PHULARWAN
139,02/01/2025,In Progress,,31.457055,73.065957,AQ TRADERS ROUTE.133
139,02/01/2025,In Progress,,31.378359,73.07063,Origin/Warehouse
99,02/01/2025,In Progress,,31.337319,73.057297,Origin/Warehouse
99,02/01/2025,In Progress,,31.288523,72.320173,ZAM ZAM TRADERS JHANG 14
