Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.337319,73.057297,Origin/Warehouse,1,2113,04/15/2024
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2113,04/15/2024
31.4380088,73.1319612,PIZZA MAX,3,2113,04/15/2024
31.337319,73.057297,Origin/Warehouse,4,2113,04/15/2024
31.337319,73.057297,Origin/Warehouse,1,2113,10/01/2025
31.4068728,73.1126684,K.F.C,2,2113,10/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,3,2113,10/01/2025
31.4380631,73.1317245,K.F.C (Layallpur Galleria),4,2113,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),5,2113,10/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,6,2113,10/01/2025
31.337319,73.057297,Origin/Warehouse,7,2113,10/01/2025
31.337319,73.057297,Origin/Warehouse,1,2113,10/01/2025
31.4068728,73.1126684,K.F.C,2,2113,10/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,3,2113,10/01/2025
31.4380631,73.1317245,K.F.C (Layallpur Galleria),4,2113,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),5,2113,10/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,6,2113,10/01/2025
31.337319,73.057297,Origin/Warehouse,7,2113,10/01/2025
