Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.337319,73.057297,Unknown Distributor,1,59,04/15/2024
31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9,2,59,04/15/2024
31.337319,73.057297,Unknown Distributor,3,59,04/15/2024
31.337319,73.057297,Unknown Distributor,1,59,04/15/2024
31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9,2,59,04/15/2024
31.337319,73.057297,Unknown Distributor,3,59,04/15/2024
31.337319,73.057297,Unknown Distributor,1,59,04/15/2024
31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9,2,59,04/15/2024
31.337319,73.057297,Unknown Distributor,3,59,04/15/2024
