Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.378359,73.07063,Origin/Warehouse,1,57,02/01/2025
31.4068728,73.1126684,K.F.C,2,57,02/01/2025
31.406426,73.125756,SHABBIR TRADERS (BULK),3,57,02/01/2025
31.827021,72.796951,AL SHARIF TRADERS LALIAN.10,4,57,02/01/2025
32.2790777,71.3685901,MUHAMMAD SALEEM & CO PIPLAAN,5,57,02/01/2025
31.378359,73.07063,Origin/Warehouse,6,57,02/01/2025
31.378359,73.07063,Origin/Warehouse,1,57,02/01/2025
31.4068728,73.1126684,K.F.C,2,57,02/01/2025
31.406426,73.125756,SHABBIR TRADERS (BULK),3,57,02/01/2025
31.827021,72.796951,AL SHARIF TRADERS LALIAN.10,4,57,02/01/2025
32.2790777,71.3685901,MUHAMMAD SALEEM & CO PIPLAAN,5,57,02/01/2025
31.378359,73.07063,Origin/Warehouse,6,57,02/01/2025
