Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.337319,73.057297,Unknown Distributor,1,55,04/16/2024
32.0779328,72.6724659,K.F.C RESTAURANT UNIVERSITY ROAD,2,55,04/16/2024
31.337319,73.057297,Unknown Distributor,3,55,04/16/2024
31.337319,73.057297,Unknown Distributor,1,55,10/01/2025
31.4380746,73.1318806, BROADWAY PIZZA,2,55,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),3,55,10/01/2025
31.509033,73.11008725,ABDUL REHMAN TRADERS DHANOLA,4,55,10/01/2025
31.59949,71.096441,BHIDWAL TRADERS   BHAKKAR-4,5,55,10/01/2025
31.2973293,72.3172379,MODERN TRADERS JHANG-9,6,55,10/01/2025
31.288523,72.320173,ZAM ZAM TRADERS JHANG 14,7,55,10/01/2025
31.2715095,72.3152034,NATIONAL TRDS.JHANG-2,8,55,10/01/2025
31.337319,73.057297,Unknown Distributor,9,55,10/01/2025
31.337319,73.057297,Unknown Distributor,1,55,04/16/2024
32.0779328,72.6724659,K.F.C RESTAURANT UNIVERSITY ROAD,2,55,04/16/2024
31.337319,73.057297,Unknown Distributor,3,55,04/16/2024
