Dest Geo Lat,Dest Geo Lon,Distributor Name,Stop Number,Vehicle,Date
31.337319,73.057297,Unknown Distributor,1,2154,04/16/2024
31.4068728,73.1126684,K.F.C,2,2154,04/16/2024
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,3,2154,04/16/2024
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,04/16/2024
31.4380631,73.1317245,K.F.C (Layallpur Galleria),5,2154,04/16/2024
31.4528231,73.1144196,K.F.C (Misaq ul Mall),6,2154,04/16/2024
31.4315939,73.081087,K.F.C  CIVIL LINE,7,2154,04/16/2024
31.337319,73.057297,Unknown Distributor,8,2154,04/16/2024
31.337319,73.057297,Unknown Distributor,1,2154,10/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2154,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),3,2154,10/01/2025
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,10/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,5,2154,10/01/2025
31.4068728,73.1126684,K.F.C,6,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,7,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,1,2154,04/16/2024
31.4068728,73.1126684,K.F.C,2,2154,04/16/2024
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,3,2154,04/16/2024
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,04/16/2024
31.4380631,73.1317245,K.F.C (Layallpur Galleria),5,2154,04/16/2024
31.4528231,73.1144196,K.F.C (Misaq ul Mall),6,2154,04/16/2024
31.4315939,73.081087,K.F.C  CIVIL LINE,7,2154,04/16/2024
31.337319,73.057297,Unknown Distributor,8,2154,04/16/2024
31.337319,73.057297,Unknown Distributor,1,2154,04/16/2024
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2154,04/16/2024
31.4528231,73.1144196,K.F.C (Misaq ul Mall),3,2154,04/16/2024
31.4380631,73.1317245,K.F.C (Layallpur Galleria),4,2154,04/16/2024
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,5,2154,04/16/2024
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,6,2154,04/16/2024
31.4068728,73.1126684,K.F.C,7,2154,04/16/2024
31.337319,73.057297,Unknown Distributor,8,2154,04/16/2024
31.337319,73.057297,Unknown Distributor,1,2154,10/01/2025
31.4068728,73.1126684,K.F.C,2,2154,10/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,3,2154,10/01/2025
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),5,2154,10/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,6,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,7,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,1,2154,10/01/2025
31.4068728,73.1126684,K.F.C,2,2154,10/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,3,2154,10/01/2025
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),5,2154,10/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,6,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,7,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,1,2154,10/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2154,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),3,2154,10/01/2025
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,10/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,5,2154,10/01/2025
31.4068728,73.1126684,K.F.C,6,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,7,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,1,2154,10/01/2025
31.4315939,73.081087,K.F.C  CIVIL LINE,2,2154,10/01/2025
31.4528231,73.1144196,K.F.C (Misaq ul Mall),3,2154,10/01/2025
31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD,4,2154,10/01/2025
31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES,5,2154,10/01/2025
31.4068728,73.1126684,K.F.C,6,2154,10/01/2025
31.337319,73.057297,Unknown Distributor,7,2154,10/01/2025
