Vehicle ID,Date,Status,Dest Geo Lat,Dest Geo Lon,Distributor Name
2114,10/01/2025,Complete,31.4068728,73.1126684,K.F.C
2114,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
2154,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
2154,10/01/2025,Complete,31.4315939,73.081087,K.F.C  CIVIL LINE
2154,10/01/2025,Complete,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
2154,10/01/2025,Complete,31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD
2154,10/01/2025,Complete,31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES
2154,10/01/2025,Complete,31.4068728,73.1126684,K.F.C
2154,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
2113,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
2113,10/01/2025,Complete,31.4068728,73.1126684,K.F.C
2113,10/01/2025,Complete,31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES
2113,10/01/2025,Complete,31.4380631,73.1317245,K.F.C (Layallpur Galleria)
2113,10/01/2025,Complete,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
2113,10/01/2025,Complete,31.4315939,73.081087,K.F.C  CIVIL LINE
2113,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
55,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
55,10/01/2025,Complete,31.2715095,72.3152034,NATIONAL TRDS.JHANG-2
55,10/01/2025,Complete,31.288523,72.320173,ZAM ZAM TRADERS JHANG 14
55,10/01/2025,Complete,31.2973293,72.3172379,MODERN TRADERS JHANG-9
55,10/01/2025,Complete,31.59949,71.096441,BHIDWAL TRADERS   BHAKKAR-4
55,10/01/2025,Complete,31.509033,73.11008725,ABDUL REHMAN TRADERS DHANOLA
55,10/01/2025,Complete,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
55,10/01/2025,Complete,31.4380746,73.1318806, BROADWAY PIZZA
55,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
8,10/01/2025,Incomplete,31.337319,73.057297,Origin/Warehouse
8,10/01/2025,Incomplete,30.864552,72.54273,CHAUDARY TRADERS RAJANA.06
8,10/01/2025,Incomplete,30.960243,72.498824,A ONE MARKEETING T.T.SINGH.09
8,10/01/2025,Incomplete,31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9
8,10/01/2025,Incomplete,31.418779,73.044673,R.S TRADERS ROUTE.135
8,10/01/2025,Incomplete,31.4068728,73.1126684,K.F.C
8,10/01/2025,Incomplete,31.337319,73.057297,Origin/Warehouse
143,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
143,10/01/2025,Complete,31.3245238,72.7189771,TANVEER & CO NIA LAHORE-5
143,10/01/2025,Complete,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
143,10/01/2025,Complete,31.440645,73.115344,RANA TRADERS ROUTE.57
143,10/01/2025,Complete,31.4380631,73.1317245,K.F.C (Layallpur Galleria)
143,10/01/2025,Complete,31.4380088,73.1319612,PIZZA MAX
143,10/01/2025,Complete,31.4068728,73.1126684,K.F.C
143,10/01/2025,Complete,31.337319,73.057297,Origin/Warehouse
2114,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
2114,10/01/2025,In Progress,31.4315939,73.081087,K.F.C  CIVIL LINE
2114,10/01/2025,In Progress,31.4380631,73.1317245,K.F.C (Layallpur Galleria)
2114,10/01/2025,In Progress,31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD
2114,10/01/2025,In Progress,31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES
2114,10/01/2025,In Progress,31.4068728,73.1126684,K.F.C
2114,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
2154,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
2154,10/01/2025,In Progress,31.4068728,73.1126684,K.F.C
2154,10/01/2025,In Progress,31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES
2154,10/01/2025,In Progress,31.4134254,73.1160336,RANCHERS CAFE (PVT)LTD
2154,10/01/2025,In Progress,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
2154,10/01/2025,In Progress,31.4315939,73.081087,K.F.C  CIVIL LINE
2154,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
2113,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
2113,10/01/2025,In Progress,31.4068728,73.1126684,K.F.C
2113,10/01/2025,In Progress,31.4124584,73.1147808,PIZZA KITCHEN FORKS N KNIVES
2113,10/01/2025,In Progress,31.4380631,73.1317245,K.F.C (Layallpur Galleria)
2113,10/01/2025,In Progress,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
2113,10/01/2025,In Progress,31.4315939,73.081087,K.F.C  CIVIL LINE
2113,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
55,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
55,10/01/2025,In Progress,31.4380746,73.1318806, BROADWAY PIZZA
55,10/01/2025,In Progress,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
55,10/01/2025,In Progress,31.509033,73.11008725,ABDUL REHMAN TRADERS DHANOLA
55,10/01/2025,In Progress,31.59949,71.096441,BHIDWAL TRADERS   BHAKKAR-4
55,10/01/2025,In Progress,31.2973293,72.3172379,MODERN TRADERS JHANG-9
55,10/01/2025,In Progress,31.288523,72.320173,ZAM ZAM TRADERS JHANG 14
55,10/01/2025,In Progress,31.2715095,72.3152034,NATIONAL TRDS.JHANG-2
55,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
8,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
8,10/01/2025,In Progress,30.864552,72.54273,CHAUDARY TRADERS RAJANA.06
8,10/01/2025,In Progress,30.960243,72.498824,A ONE MARKEETING T.T.SINGH.09
8,10/01/2025,In Progress,31.364604,72.912386,EMAAN ENTERPRISES THEKRIWALA-9
8,10/01/2025,In Progress,31.418779,73.044673,R.S TRADERS ROUTE.135
8,10/01/2025,In Progress,31.4068728,73.1126684,K.F.C
8,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
143,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
143,10/01/2025,In Progress,31.3245238,72.7189771,TANVEER & CO NIA LAHORE-5
143,10/01/2025,In Progress,31.4528231,73.1144196,K.F.C (Misaq ul Mall)
143,10/01/2025,In Progress,31.440645,73.115344,RANA TRADERS ROUTE.57
143,10/01/2025,In Progress,31.4380631,73.1317245,K.F.C (Layallpur Galleria)
143,10/01/2025,In Progress,31.4380088,73.1319612,PIZZA MAX
143,10/01/2025,In Progress,31.4068728,73.1126684,K.F.C
143,10/01/2025,In Progress,31.337319,73.057297,Origin/Warehouse
